chemical.id,bottle.id,conc,plate.id,well,total.dist
1174,P215706,0,25489,H12,0.348301075519093
1174,P215706,0,25490,G01,0.328247313557934
1174,P215706,0,25490,G02,0.944698926502017
1174,P215706,0,25490,G03,0.1620322537999
1174,P215706,0,25490,G04,0.394655914556595
1174,P215706,0,25490,G05,0.471419360969336
1174,P215706,0,25490,G06,0.980043014932063
1174,P215706,0,25490,G07,0.421956988952814
1174,P215706,0,25490,G08,1.45417204297959
1174,P215706,0,25490,G09,0.264258064169397
1174,P215706,0,25490,G10,1.05620430576144
1174,P215706,0,25490,G11,0.387989250081842
1174,P215706,0,25490,G12,0.216225806183072
1174,P215706,0,25490,H01,0.10044086193766
1174,P215706,0,25490,H02,0.265086020152736
1174,P215706,0,25490,H03,0.496688172501582
1174,P215706,0,25490,H04,0.570150536595173
1174,P215706,0,25490,H05,0.89660215373802
1174,P215706,0,25490,H06,0.24427957103778
1174,P215706,0,25490,H07,2.71656990347691
1174,P215706,0,25490,H08,0.108139785627524
1174,P215706,0,25490,H09,0.211537633271467
1174,P215706,0,25490,H10,0.201419358171763
1174,P215706,0,25490,H11,0.318086021008991
1174,P215706,0,25490,H12,0.504053761181171
1174,P215706,0,25492,G01,NA
1174,P215706,0,25492,G02,0.781397845475904
1174,P215706,0,25492,G03,0.644806449852323
1174,P215706,0,25492,G04,1.22802150746187
1174,P215706,0,25492,G05,0.738569889898582
1174,P215706,0,25492,G06,0.387473118241115
1174,P215706,0,25492,G07,NA
1174,P215706,0,25492,G08,0.537387098756529
1174,P215706,0,25492,G09,0.700333331060666
1174,P215706,0,25492,G10,0.116634408312459
1174,P215706,0,25492,G11,0.535354835451931
1174,P215706,0,25492,G12,0.651290318317791
1174,P215706,0,25492,H01,4.93154838368777
1174,P215706,0,25492,H02,1.06978495338912
1174,P215706,0,25492,H03,0.827322582163478
1174,P215706,0,25492,H04,1.48049462342294
1174,P215706,0,25492,H05,0.925354838451391
1174,P215706,0,25492,H06,1.75426882112859
1174,P215706,0,25492,H07,1.09398924174809
1174,P215706,0,25492,H08,0.521806450240234
1174,P215706,0,25492,H09,0.428870966077171
1174,P215706,0,25492,H10,NA
1174,P215706,0,25492,H11,0.890075267883398
1174,P215706,0,25492,H12,0.07798924417265
1174,P215706,0,25493,G01,NA
1174,P215706,0,25493,G02,0.716526878897541
1174,P215706,0,25493,G03,0.673795703838589
1174,P215706,0,25493,G04,1.09109676933737
1174,P215706,0,25493,G05,0.452999998164433
1174,P215706,0,25493,G06,0.492784945534602
1174,P215706,0,25493,G07,1.0410322623067
1174,P215706,0,25493,G08,0.468688168592991
1174,P215706,0,25493,G09,0.306010753837644
1174,P215706,0,25493,G10,0.131849463468277
1174,P215706,0,25493,G11,0.0809032260690645
1174,P215706,0,25493,G12,0.212978495905797
1174,P215706,0,25493,H01,0.241698922809734
1174,P215706,0,25493,H02,0.19564516125347
1174,P215706,0,25493,H03,0.477645162332763
1174,P215706,0,25493,H04,0.472569895447582
1174,P215706,0,25493,H05,0.0423548384219087
1174,P215706,0,25493,H06,0.92188172002313
1174,P215706,0,25493,H07,1.29783870768483
1174,P215706,0,25493,H08,0.326215055240418
1174,P215706,0,25493,H09,0.0888279563476962
1174,P215706,0,25493,H10,0.890247307878028
1174,P215706,0,25493,H11,0.121741938014184
1174,P215706,0,25493,H12,0.242612902956304
