"chemical.id","bottle.id","conc","date","plate.id","well","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92"
1174,"P215706",0,20220506,25489,"G01",0.0810000002384186,0.0810000002384186,0,3.8420000076294,0.634999990463257,0,0,0,0,0,0,0,0,0.180999994277954,0,0,0,0,0.792999982833862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354999989271164,1.23599994182587,0,0.333999991416931,0.0790000036358833,0.126000002026558,1.15400004386902,1.81500005722046,0.578000009059906,0,0,0,0,0,0,0.293999999761581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P215706",0,20220506,25489,"G02",0,0,0,2.77600008994341,0.649999976158142,0,0,0,0.709999978542328,0,0,1.59599995613098,0.552999973297119,0.275000005960464,0.212999999523163,0.998000025749207,0.157000005245209,0.26800000667572,0,0,0.254999995231628,0.614000022411346,0.354999989271164,0.193000003695488,0,0.449000000953674,0.837000012397766,0,0,0,0,0.204999998211861,0.462999999523163,0.642000019550323,0.0879999995231628,0.0860000029206276,0,0.395000010728836,0.966000020503998,0,0.52700001001358,0.642000019550323,0,0.207000002264977,0.164000004529953,0.328000009059906,0.174999997019768,1.29200005531311,0,0.714999973773956,0.966000020503998,0.180999994277954,0,1.19200003147125,0,0,0,0.493999987840652,0.828999996185303,0.736000001430511,0.119000002741814,0.209999993443489,0,0.188999995589256,0,0,0.158000007271767,0.333000004291534,0.472000002861023,0.642000019550323,1.23199999332428,0.632000029087067,0,0.397000014781952,0,0.337000012397766,0.504000008106232,1.35199999809265,0.372000008821487,0.27700001001358,0,0,0.189999997615814,0.326999992132187,0,0,0.101999998092651,0.248999997973442,0,0.238999992609024,0,0.104999996721745,0.782999992370605
1174,"P215706",0,20220506,25489,"G03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P215706",0,20220506,25489,"G04",0,0,0,4.27399989962578,0,0.0920000001788139,0.0850000008940697,0,0,0.175999999046326,0.0729999989271164,0,0.0549999997019768,0.935000002384186,1.09200000762939,0.163000002503395,0.372999995946884,0.360000014305115,0.931999981403351,0.328999996185303,0,1.49600005149841,0.190999999642372,0,0.842000007629395,0.165000006556511,0,0,0,0,0,0,0.0649999976158142,2.14400005340576,0.184000000357628,1.20299994945526,0.41100001335144,2.70899987220764,1.11300003528595,0,0,0,0,0,0,0.105999998748302,0,0,0,0.0759999975562096,0,0.14300000667572,0,0.816999971866608,0,0,0,0,0,0.395000010728836,0,0,0,1.63399994373322,0.549000024795532,1.41799998283386,1.11300003528595,5.2480001449585,5.33500009775162,1.62100005149841,0,0,0,0.485000014305115,0,0,0.879000008106232,0,0.839999973773956,0,0,0,0,0.437999993562698,1.21000003814697,1.75499999523163,1.02799999713898,0.617999970912933,0.583999991416931,0,0.629999995231628,0,0.165999993681908
1174,"P215706",0,20220506,25489,"G05",0,0,0,5.16700010001659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P215706",0,20220506,25489,"G06",0,0,0,2.28199994564057,0.342000007629395,0.532000005245209,0.101999998092651,0,0.354000002145767,0.541999995708466,0,0,0,0.00899999961256981,0,0,0,0,0,0,0,0,0,0.152999997138977,0,0,0,0,0,0,0,0,0,0,0,0,0.492000013589859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135000005364418,0,0,0,0,0,0,0,0,0,0.405000001192093,0,0,0,0,0,0.238999992609024,0,0,0
1174,"P215706",0,20220506,25489,"G07",2.34200000762939,2.72000002861023,1.58700001239777,3.33699995279312,1.92299997806549,0.569999992847443,2.93099999427795,0.889999985694885,0.333000004291534,0,0,0.0850000008940697,0.264999985694885,2.14199995994568,0.230000004172325,0.42399999499321,0.888999998569489,1.067999958992,1.17799997329712,0.35699999332428,0,0.0890000015497208,0,0,0.751999974250793,0,0.377000004053116,2.54800009727478,0,0.232999995350838,0.73199999332428,0.36599999666214,0.634999990463257,0.512000024318695,0,0.0719999969005585,0.282999992370605,0,0.395000010728836,0,0.372999995946884,0.245000004768372,0.656000018119812,0.360000014305115,0.657999992370605,0.84799998998642,0.374000012874603,0,0.416999995708466,0.122000001370907,0.800999999046326,0,1.24600005149841,0.467000007629395,0.156000003218651,0.65200001001358,0,0,0,0,0,0,0,1.34500002861023,0.291000008583069,0,0.381000012159348,0,0.492000013589859,0.698000013828278,0.810000002384186,0,0,0.239999994635582,0.568000018596649,0.0900000035762787,0.745000004768372,0.0350000001490116,0.214000001549721,0.270000010728836,1.22399997711182,0,0.0120000001043081,2.34999990463257,2.04699993133545,0.513999998569489,0,0.360000014305115,0.398000001907349,0.143999993801117,1.37399995326996,1.04700005054474,0.340000003576279
1174,"P215706",0,20220506,25489,"G08",0,0,0,6.8450001180172,0,0,0,0,0,0,0.0920000001788139,0,0,6.33699989318847,1.45799994468689,0,0.620000004768372,0,0.126000002026558,0.671999990940094,0.214000001549721,0,0,3.48500001430511,0.195999994874001,1.53100001811981,1.52400004863739,1.54900002479553,0,0.777999997138977,0,0,0.46000000834465,0.514999985694885,0.224000006914139,0.708999991416931,0.123999997973442,0,0.272000014781952,0,0,0,0.280000001192093,0.254999995231628,1.05200004577637,0,0,0,0,0.130999997258186,0.263000011444092,0,0,0.40599998831749,0,0.28099998831749,0,0,0.14300000667572,0.0240000002086163,0.901000022888184,0.187999993562698,0.370999991893768,0,0.171000003814697,0,0,0.439999997615814,0,0,0,0,0,0.101000003516674,0,0,0,0.0930000022053719,0,0.444000005722046,0,0.270999997854233,0.456999987363815,0,0.028999999165535,0.12899999320507,0,0,0.35699999332428,0.28600001335144,0,0,0
1174,"P215706",0,20220506,25489,"G09",0,0,0.150999993085861,2.4960000924766,0,0,0,0,0.246999993920326,0.412999987602234,0,0,0.101000003516674,0,0.179000005125999,0.187000006437302,0.635999977588654,0.108999997377396,0,0.0790000036358833,0,0,0,0,0.197999998927116,1.12000000476837,0.474999994039536,0,0.112000003457069,0,0,0.246999993920326,0.41499999165535,0.462999999523163,0.0939999967813492,3.13000011444092,0.824999988079071,0.0719999969005585,0.448000013828278,2.48499989509583,1.01400005817413,0.131999999284744,0.105999998748302,2.58700001239777,0,0,0.143999993801117,0.96399998664856,2.72699999809265,1.32700002193451,0.887000024318695,0.981000006198883,0.194000005722046,0.368000000715256,0,0,0,0,0,0,0,0,0,0,0,0,0.839999973773956,1.8400000333786,1.22099995613098,1.45099997520447,0.34799998998642,1.78000004589558,1.08800005912781,0.0979999974370003,1.85199999809265,0,0,0.344999998807907,0.165999993681908,0,0.199000000953674,0,0,0.296999990940094,0.046000000089407,0,0,0.229000002145767,0.44200000166893,1.17900002002716,0.158000007271767,0.277999997138977,0
1174,"P215706",0,20220506,25489,"G10",0.40599998831749,0,0.370000004768372,0,1.28299999237061,0.0829999968409538,0.483999997377396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472000002861023,0.177000001072884,0,0.834999978542328,0.768999993801117,0.115000002086163,0,0,0.0419999994337559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10700000077486,7.31400001049042,0.68699999153614,0,0,0,0.136000007390976,0,0,0,0,2.61499989777803,0,0,0,0,0.899999976158142,0,0,0,0.0579999983310699,0.0529999993741512,0,0,0,0.136999994516373,0,0.433999985456467,0,0,0,0,0,0,0,0,0,0,0,0,0
