"chemical.id","bottle.id","conc","plate.id","well","variable","value"
1174,"P215706",0,25487,"G09","t0",0
1174,"P215706",0,25487,"G10","t0",0
1174,"P215706",0,25487,"G11","t0",0
1174,"P215706",0,25487,"G12","t0",0
1174,"P215706",0,25487,"H01","t0",0
1174,"P215706",0,25487,"H02","t0",0
1174,"P215706",0,25487,"H03","t0",0
1174,"P215706",0,25487,"H04","t0",0
1174,"P215706",0,25487,"H05","t0",0
1174,"P215706",0,25487,"H06","t0",0
1174,"P215706",0,25487,"H07","t0",0
1174,"P215706",0,25487,"H08","t0",0
1174,"P215706",0,25487,"H09","t0",0
1174,"P215706",0,25487,"H10","t0",0
1174,"P215706",0,25487,"H11","t0",0
1174,"P215706",0,25487,"H12","t0",0
1174,"P215706",0,25488,"G01","t0",0
1174,"P215706",0,25488,"G02","t0",0
1174,"P215706",0,25488,"G03","t0",0.605000019073486
1174,"P215706",0,25488,"G04","t0",0.871999979019165
1174,"P215706",0,25488,"G05","t0",0
1174,"P215706",0,25488,"G06","t0",0
1174,"P215706",0,25488,"G07","t0",0.171000003814697
1174,"P215706",0,25488,"G08","t0",0.476000010967255
1174,"P215706",0,25488,"G09","t0",0
1174,"P215706",0,25488,"G10","t0",0
1174,"P215706",0,25488,"G11","t0",0.423000007867813
1174,"P215706",0,25488,"G12","t0",0.26800000667572
1174,"P215706",0,25488,"H01","t0",0.39300000667572
1174,"P215706",0,25488,"H02","t0",0
1174,"P215706",0,25488,"H03","t0",0
1174,"P215706",0,25488,"H04","t0",0.204999998211861
1174,"P215706",0,25488,"H05","t0",0
1174,"P215706",0,25488,"H06","t0",2.30599999427795
1174,"P215706",0,25488,"H07","t0",0
1174,"P215706",0,25488,"H08","t0",0
1174,"P215706",0,25488,"H09","t0",4.37900018692017
1174,"P215706",0,25488,"H10","t0",0
1174,"P215706",0,25488,"H11","t0",1.67599999904633
1174,"P215706",0,25488,"H12","t0",0
1174,"P215706",0,25489,"G01","t0",0.0810000002384186
1174,"P215706",0,25489,"G02","t0",0
1174,"P215706",0,25489,"G03","t0",NA
1174,"P215706",0,25489,"G04","t0",0
1174,"P215706",0,25489,"G05","t0",0
1174,"P215706",0,25489,"G06","t0",0
1174,"P215706",0,25489,"G07","t0",2.34200000762939
1174,"P215706",0,25489,"G08","t0",0
1174,"P215706",0,25489,"G09","t0",0
1174,"P215706",0,25489,"G10","t0",0.40599998831749
1174,"P215706",0,25489,"G11","t0",0
1174,"P215706",0,25489,"G12","t0",0
1174,"P215706",0,25489,"H01","t0",0.159999996423721
1174,"P215706",0,25489,"H02","t0",0
1174,"P215706",0,25489,"H03","t0",0
