bottle.id,casrn,chemical.id,chemical.name,plate.id,conc,well,EPR_max,MO24,any.effect,L1,D1,L2,D2,L3,D3,LPR_light_mean,LPR_dark_mean
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,D07,43.1641,0,0,0.492649978399275,14.1623499214649,4.33294995576144,0.17695000171661,0.433150002732879,4.66299997717142,1.753,6.334
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,E07,18.8151,0,0,0,0.257450005412102,0.109150003641844,0,0.0108999997377396,0.35389999970794,0.04,0.204
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,F07,33.7891,0,0,0.389449998363852,14.0538000173867,1.269800003618,6.89980002567172,0.519100007414824,3.38199996640905,0.726,8.112
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,G07,23.2422,0,0,1.21300000306219,18.2476500114426,3.04125003330409,17.7511499643326,4.07924997434021,17.5307500213385,2.778,17.843
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,H07,6.1198,0,0,0.424900002777577,16.0484000135213,1.15849999859929,20.3413500880822,0.935050023719677,12.6924001011997,0.839,16.361
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,A08,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,B08,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,C08,30.664,0,0,0.00619999989867208,24.441300142929,0.501699987798927,27.0405501723289,1.54235001057387,30.2378499558195,0.683,27.24
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,D08,0.0217,0,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,E08,58.7891,0,0,0.0229999996721744,13.2651499759406,2.43425001800059,0.880899989604954,0.0238999992609023,1.97805000916123,0.827,5.375
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,F08,22.2439,0,0,0.176599998027087,6.04959998801351,0,0,0.281200006976723,0.926800002902747,0.153,2.325
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,G08,23.9584,0,0,0,2.85840002149343,0.527750018239019,3.88459998033941,0.642449997365476,5.49469996597617,0.39,4.079
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,H08,48.763,0,0,0.204649998247623,27.1846501559019,1.29350000843405,26.080799927935,2.88250002413988,20.4472499623895,1.46,24.571
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,A09,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,B09,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,C09,44.9218,0,0,4.74824994876981,1.63895003423095,0.344799995422362,0,0,0,1.698,0.546
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,D09,30.8594,0,0,0.105900003015995,0,0.158199998736381,0,0.0196999996900557,0,0.095,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,E09,30.013,0,0,0.190249997377395,14.4364501100034,0.298149999976157,6.2841000266373,0.639999995753175,3.46979999439791,0.376,8.063
