"chemical.id","bottle.id","conc","plate.id","well","variable","value"
1174,"P737470",0,19842,"A11","t0",0
1174,"P737470",0,19842,"A12","t0",0
1174,"P737470",0,19842,"B01","t0",0
1174,"P737470",0,19842,"B02","t0",NA
1174,"P737470",0,19842,"B03","t0",0
1174,"P737470",0,19842,"B04","t0",0
1174,"P737470",0,19842,"B05","t0",0
1174,"P737470",0,19842,"B06","t0",NA
1174,"P737470",0,19842,"B07","t0",0
1174,"P737470",0,19842,"B08","t0",NA
1174,"P737470",0,19842,"B09","t0",0
1174,"P737470",0,19842,"B10","t0",NA
1174,"P737470",0,19842,"B11","t0",0
1174,"P737470",0,19842,"B12","t0",0
1174,"P737470",0,19843,"A01","t0",0
1174,"P737470",0,19843,"A02","t0",0
1174,"P737470",0,19843,"A03","t0",NA
1174,"P737470",0,19843,"A04","t0",0
1174,"P737470",0,19843,"A05","t0",2.36199998855591
1174,"P737470",0,19843,"A06","t0",0
1174,"P737470",0,19843,"A07","t0",0
1174,"P737470",0,19843,"A08","t0",NA
1174,"P737470",0,19843,"A09","t0",NA
1174,"P737470",0,19843,"A10","t0",0
1174,"P737470",0,19843,"A11","t0",NA
1174,"P737470",0,19843,"A12","t0",0.30799999833107
1174,"P737470",0,19843,"B01","t0",NA
1174,"P737470",0,19843,"B02","t0",0
1174,"P737470",0,19843,"B03","t0",0
1174,"P737470",0,19843,"B04","t0",0.629000008106232
1174,"P737470",0,19843,"B05","t0",NA
1174,"P737470",0,19843,"B06","t0",0
1174,"P737470",0,19843,"B07","t0",0
1174,"P737470",0,19843,"B08","t0",0
1174,"P737470",0,19843,"B09","t0",0.0979999974370003
1174,"P737470",0,19843,"B10","t0",0
1174,"P737470",0,19843,"B11","t0",0
1174,"P737470",0,19843,"B12","t0",0
1174,"P737470",0,19902,"A01","t0",0
1174,"P737470",0,19902,"A02","t0",NA
1174,"P737470",0,19902,"A03","t0",0
1174,"P737470",0,19902,"A04","t0",0
1174,"P737470",0,19902,"A05","t0",0
1174,"P737470",0,19902,"A06","t0",0
1174,"P737470",0,19902,"A07","t0",0
1174,"P737470",0,19902,"A08","t0",0
1174,"P737470",0,19902,"A09","t0",0
1174,"P737470",0,19902,"A10","t0",0
1174,"P737470",0,19902,"A11","t0",0
1174,"P737470",0,19902,"A12","t0",0
1174,"P737470",0,19902,"B01","t0",0
1174,"P737470",0,19902,"B02","t0",0
1174,"P737470",0,19902,"B03","t0",2.92000007629395
1174,"P737470",0,19902,"B04","t0",0
1174,"P737470",0,19902,"B05","t0",0
1174,"P737470",0,19902,"B06","t0",0
1174,"P737470",0,19902,"B07","t0",0
1174,"P737470",0,19902,"B08","t0",0.629999995231628
1174,"P737470",0,19902,"B09","t0",0
1174,"P737470",0,19902,"B10","t0",0
1174,"P737470",0,19902,"B11","t0",0
1174,"P737470",0,19902,"B12","t0",0
1174,"P737470",0,19903,"A01","t0",0
1174,"P737470",0,19903,"A02","t0",0
1174,"P737470",0,19903,"A03","t0",0
1174,"P737470",0,19903,"A04","t0",0
1174,"P737470",0,19903,"A05","t0",0
1174,"P737470",0,19903,"A06","t0",0
1174,"P737470",0,19903,"A07","t0",0
1174,"P737470",0,19903,"A08","t0",0
1174,"P737470",0,19903,"A09","t0",0
1174,"P737470",0,19903,"A10","t0",2.65700006484985
1174,"P737470",0,19903,"A11","t0",0
1174,"P737470",0,19903,"A12","t0",0
1174,"P737470",0,19903,"B01","t0",0
1174,"P737470",0,19903,"B02","t0",0
1174,"P737470",0,19903,"B03","t0",0
1174,"P737470",0,19903,"B04","t0",0
1174,"P737470",0,19903,"B05","t0",0
1174,"P737470",0,19903,"B06","t0",NA
1174,"P737470",0,19903,"B07","t0",0
1174,"P737470",0,19903,"B08","t0",0
1174,"P737470",0,19903,"B09","t0",0
1174,"P737470",0,19903,"B10","t0",0
1174,"P737470",0,19903,"B11","t0",0
1174,"P737470",0,19903,"B12","t0",0
1174,"P737470",1,19737,"C01","t0",1.33799999952316
1174,"P737470",1,19737,"C02","t0",NA
1174,"P737470",1,19737,"C03","t0",0
1174,"P737470",1,19737,"C04","t0",0
1174,"P737470",1,19737,"C05","t0",0
1174,"P737470",1,19737,"C06","t0",0
1174,"P737470",1,19737,"C07","t0",0
1174,"P737470",1,19737,"C08","t0",0
1174,"P737470",1,19737,"C09","t0",NA
1174,"P737470",1,19737,"C10","t0",0
1174,"P737470",1,19737,"C11","t0",0
1174,"P737470",1,19737,"C12","t0",0
1174,"P737470",1,19737,"D01","t0",0
1174,"P737470",1,19737,"D02","t0",0
1174,"P737470",1,19737,"D03","t0",0
1174,"P737470",1,19737,"D04","t0",NA
1174,"P737470",1,19737,"D05","t0",0
1174,"P737470",1,19737,"D06","t0",0
1174,"P737470",1,19737,"D07","t0",0
1174,"P737470",1,19737,"D08","t0",0
1174,"P737470",1,19737,"D09","t0",0
1174,"P737470",1,19737,"D10","t0",0
1174,"P737470",1,19737,"D11","t0",0
1174,"P737470",1,19737,"D12","t0",0
1174,"P737470",1,19738,"C01","t0",0
1174,"P737470",1,19738,"C02","t0",0
1174,"P737470",1,19738,"C03","t0",0
1174,"P737470",1,19738,"C04","t0",0
1174,"P737470",1,19738,"C05","t0",0
1174,"P737470",1,19738,"C06","t0",0
1174,"P737470",1,19738,"C07","t0",0
1174,"P737470",1,19738,"C08","t0",0
1174,"P737470",1,19738,"C09","t0",NA
1174,"P737470",1,19738,"C10","t0",0
1174,"P737470",1,19738,"C11","t0",0
