chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50
1174,P737470,10,19902,H11,0,0.021701375,18.25089375,0,0,0,0,0,0,14.2578153125,0,0,0,0,0,0,0,16.92709325,2.712671875,0,0,0,4.21008125,9.4184159375,0,0,0,11.046009375,3.5156284375,0,0,0,0,0,0,0,0,0,0,48.3723603125,14.93055,0,0,0,0,0,0,0,0,0
1174,P737470,10,19902,H12,6.749140625,0,0,0,0,0,0,0,0,0,0,8.051213125,0,0,0,0,0,0,0,11.2413259375,0,5.8593778125,0,6.0329875,3.2335073125,0,0,0,0,0,0,3.081596875,7.9210095,15.646688375,15.7986090625,4.3402634375,3.7977429375,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19903,G01,0,0,8.420138375,6.054690625,0.99826425,0,0.021701375,0,10.3732545,0.4340279375,0,0,6.640610625,0.021701375,0,0,0,4.8394125,2.191843875,0,7.00953875,0,0,0,12.283001875,0.195312625,0,0,0,0,6.2066,0.62934025,6.40191,7.1831610625,7.5303816875,0.217013875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19903,G02,0,0,5.3819459375,0,0,0,11.2847165625,0.846355625,0,5.2300341875,0,0,0,10.43836,0,0,1.5842,3.3637121875,0,0,0,0,11.5234571875,0.5208334375,4.77430625,0.108506875,0,5.338542,0,0,0,11.566846375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19903,G03,0,19.87849125,0,0,0,8.5069355625,0,0,14.1276125,7.356771875,0,0,0,13.17275,7.44357075,0,0,0,5.64236125,1.106771875,0,3.927955,17.556405625,0,0,12.4131875,0,0,21.766485625,0.9331590625,12.91234375,3.971353125,46.310740625,65.19095,8.203124375,12.5651146875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19903,G04,0,0,6.987863875,12.54339375,1.6276053125,4.5572934375,1.475695,0,10.655375,5.1215265625,0,0,6.380197,3.428826375,9.9392365625,0,0,6.271690625,0,15.6249979375,0,0,15.2126665625,0.021701375,0.021701375,6.96614375,0,14.4965146875,0,8.31161625,0,13.9756965625,6.1197909375,29.6006998125,6.66231775,6.6623204375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19903,G05,0,0,0,20.70311525,0,0,0,19.4878371875,0,0,1.041665625,7.8559079375,0,14.062478125,4.4270853125,0,0,0,0.021701375,18.381076875,24.8480803125,0,0,0,0.021701375,0,0,17.7951253125,0,16.94879375,1.4322910625,0,0,9.5052146875,16.9921875,22.0919821875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19903,G06,0,7.7256996875,0.585938125,0,0,0,0,0,0,0,0,18.424476875,0.108506875,0,7.42187625,0,0,0,0,0,0,0,0,0,0,28.689251875,1.0850696875,0,16.27603125,0.086805625,7.8993084375,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19903,G07,0,0,0,0,0,0,4.730903125,0,9.960940625,0,6.2499978125,0,6.3367978125,0,0,6.27169375,0,17.0139059375,0,0,2.734375,0,0,0,8.39844025,0,0,0,0,11.4800253125,0,0,0,0,0,0,0,0,0,8.723947625,0,0,0,0,0,5.2517259375,25.8029545,0,0,0
1174,P737470,10,19903,G08,0,0,0,0,0,6.7057290625,1.3237841875,0.021701375,9.006088125,1.4322915625,0,9.1579921875,0.6727429375,0,0,0,0,8.333346875,4.8611121875,0.21701375,0,8.789049375,0.021701375,0,0,7.4001753125,0.04340275,0,0,0,0,0,0,11.263028125,0.2821179375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
