SARL_plateID,Expt_ID,Chemical_name,Microbiome_treat,BaP_uM,Sample,Extract_batch,Expt_plateID,Sample_well,Sample_row,Sample_col,Tube,CD1,Dissector,Dissect_result
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2H02,4,2,H02,H,2,Lot163,Lot663,Keaton,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3B02,4,3,B02,B,2,Lot163,Lot663,Austin,partial
19737,cv-BaP-16S-02,B[a]P,conventional,5,P3E02,4,3,E02,E,2,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,10,P3G02,4,3,G02,G,2,Lot163,Lot663,Austin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,0,P4A02,4,4,A02,A,2,Lot663,Lot163,Kristin,partial
19738,cv-BaP-16S-02,B[a]P,conventional,1,P4C02,4,4,C02,C,2,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,5,P4E02,4,4,E02,E,2,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,10,P4G02,4,4,G02,G,2,Lot663,Lot163,Kristin,whole
19902,cv-BaP-16S-03,B[a]P,conventional,0,P5B02,4,5,B02,B,2,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,1,P5D02,4,5,D02,D,2,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,5,P5F02,4,5,F02,F,2,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,10,P5H02,4,5,H02,H,2,Lot663,Lot163_1,Keaton,whole
19903,cv-BaP-16S-03,B[a]P,conventional,0,P6B02,4,6,B02,B,2,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,1,P6D02,4,6,D02,D,2,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,5,P6F02,4,6,F02,F,2,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,10,P6H02,4,6,H02,H,2,Lot163_1,Lot163,Austin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,0,P1B04,5,1,B04,B,4,Lot163,Lot663,Kristin,partial
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1D04,5,1,D04,D,4,Lot163,Lot663,Kristin,partial
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1F04,5,1,F04,F,4,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1H04,5,1,H04,H,4,Lot163,Lot663,Kristin,partial
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2C04,5,2,C04,C,4,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2D03,5,2,D03,D,3,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2F03,5,2,F03,F,3,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2H03,5,2,H03,H,3,Lot163,Lot663,Keaton,partial
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3B03,5,3,B03,B,3,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,1,P3D03,5,3,D03,D,3,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,5,P3F03,5,3,F03,F,3,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,10,P3H03,5,3,H03,H,3,Lot163,Lot663,Austin,partial
19738,cv-BaP-16S-02,B[a]P,conventional,0,P4B03,5,4,B03,B,3,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,1,P4D03,5,4,D03,D,3,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,5,P4F03,5,4,F03,F,3,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,10,P4H03,5,4,H03,H,3,Lot663,Lot163,Kristin,whole
19902,cv-BaP-16S-03,B[a]P,conventional,0,P5B03,5,5,B03,B,3,Lot663,Lot163_1,Keaton,partial
19902,cv-BaP-16S-03,B[a]P,conventional,1,P5D03,5,5,D03,D,3,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,5,P5F03,5,5,F03,F,3,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,10,P5H03,5,5,H03,H,3,Lot663,Lot163_1,Keaton,whole
19903,cv-BaP-16S-03,B[a]P,conventional,0,P6B03,5,6,B03,B,3,Lot163_1,Lot163,Austin,partial
19903,cv-BaP-16S-03,B[a]P,conventional,1,P6D03,5,6,D03,D,3,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,5,P6F03,5,6,F03,F,3,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,10,P6H03,5,6,H03,H,3,Lot163_1,Lot163,Austin,partial
