bottle.id,casrn,chemical.id,chemical.name,plate.id,conc,well,EPR_max,MO24,any.effect,L1,L2,L3,D1,D2,D3,LPR_light_mean,LPR_dark_mean
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,G09,11.7621,0,0,6.52199995517731,4.68300008773804,2.13700002431869,268.098499938846,302.383997023105,255.980499744415,4.447,275.488
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,H09,16.059,0,0,28.1569996476173,0.880499988794325,0,532.810002565384,4.10000005923212,67.7724986821413,9.679,201.561
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,A10,7.5087,0,0,0.308499991893768,4.20649988949299,1.80649992823601,267.495499849319,173.666500225663,188.888998650014,2.107,210.017
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,B10,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,C10,6.8359,0,0,0.615000009536743,5.72849982976913,0.495000004768372,386.519499003887,152.003000155091,40.266999669373,2.279,192.93
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,D10,13.7804,0,0,7.28949993848801,21.1934999935329,4.14550000429153,183.131499961019,179.670999862254,120.823500717059,10.876,161.209
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,E10,16.493,0,0,143.488500081003,148.488001465797,71.5445000901818,425.766501545907,385.071998476982,345.798501014709,121.174,385.546
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,F10,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,G10,35.8941,0,0,4.00999991595745,9.71050000190734,3.54549992084503,0,0,2.95499992370605,5.755,0.985
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,H10,11.8273,0,0,5.5639999806881,26.7835002094507,4.05499994754791,229.452999457717,247.886500418186,247.390999138355,12.134,241.577
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,A11,14.0191,0,0,8.53450000286102,22.0365001708269,18.2890001013875,257.568500248716,231.289500065148,224.49850089848,16.287,237.786
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,B11,6.467,0,0,0.337999992072582,0,2.82100008428097,209.473999887705,280.312998093665,261.695500977337,1.053,250.494
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,C11,15.7986,0,0,1.44600003957748,1.37699994444847,3.63949999213219,188.683999750763,163.985999345779,109.304500371218,2.154,153.991
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,D11,33.6155,0,0,0,0,0.847000002861023,98.1885002851486,50.2005000635982,87.1420013904572,0.282,78.51
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,E11,10.5035,0,0,4.54499989748001,14.7374999523163,9.35399985313416,243.465499460697,199.288500547409,130.986999511719,9.545,191.247
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,F11,12.3915,0,0,0.926999993622303,81.1025008186697,18.9870000481605,320.045997478068,358.861502371728,342.886498451232,33.672,340.598
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,G11,12.0442,0,0,11.997000053525,55.900000706315,6.65200013667345,269.419999837876,222.065999776125,263.380498826504,24.85,251.622
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,H11,10.3082,0,0,13.2010000124574,15.2870003283024,41.7140000462532,467.49749994278,433.312000334263,303.641498662532,23.401,401.484
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,A12,14.0408,0,0,3.14499998092651,6.58250008150936,15.7459996119142,192.482000440359,217.631499025039,132.264498174191,8.491,180.793
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,B12,7.7691,0,0,59.0795001089573,84.521500363946,22.2760003209114,486.507502794266,416.146999180317,241.305500855669,55.292,381.32
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,C12,5.2083,0,0,3.90299999713898,4.70999991893769,5.16049998998642,405.325000166893,355.446999803185,302.950500547886,4.591,354.574
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,D12,12.3481,0,0,5.59400011971592,21.1099998615682,33.2699999064207,405.229498505593,314.963998883963,241.020500205458,19.991,320.405
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,E12,12.1094,0,0,0.270000010728836,7.32549995183945,3.65099999308586,373.141999602318,354.536999077536,304.961501121521,3.749,344.213
