"chemical.id","bottle.id","conc","plate.id","well","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92"
1174,"P737470",5,19902,"F07",0,0,0,0,0,0,0,0,0,0,0,1.98699998855591,2.63900011777878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19902,"F08",0,0,0,4.567999958992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19902,"F09",0,0,0,2.60199999809265,0,0,0,0,0,1.20500004291534,0.135000005364418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64000010490417,0,1.15700003504754,0.21399999782443,1.02400000393391,0,1.36199998855591,0.061999998986721,3.43400010466575,0.531000003218651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19902,"F10",0,0,0,3.29999995231628,0,0,0,0,0,0,0,2.99399995803833,0.971000015735626,0,0,0,3.1159999370575,0,0,0,0,3.34800004959106,0,0,0,0,0,0,0,0,4.22100019454956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85500001907349,0.215000003576279,0,0,0,0,0,0,0,0,0.717000007629395,0,0,0,0,0,0,0,2.8199999332428,1.33100005984306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19902,"F11",0,0,1.2039999961853,4.62700017169118,1.25800001621246,2.01499994844198,0,0,0,0,0,0,0.843999981880188,0,0,0,0,2.21699988096952,0,0,0.681999981403351,1.93500000238418,0,0,0,0,0,0,0,0,0.800999999046326,0,0.19200000166893,0,0,0,0,0,0,0.742999970912933,0,0,0,0,0,0,0,1.0349999666214,1.02799999713898,0,0,0,0,0,0,0,0,0.0729999989271164,0,0,0,0.384999990463257,0,0,0,0,0,0,0,0,0,0,0,0,0.510999977588654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19902,"F12",0,0,0,0.111000001430511,0,0,0,0,0,0,0.462000012397766,0.352999985218048,0.137999996542931,0,0,0,0,0,0,0,0,0.563000023365021,0,0,0,0,0,0,0,0,0.814999997615814,0.375999987125397,0,0,0,0,0,0.331999987363815,0,1.58599996566772,0,0,0,0,0,0,0,0,1.37500004470349,0,0,0,0,0,0.755999982357025,0.061999998986721,0.254000008106232,1.00399994850159,0,0,0,0,0,0,0,0,0.941999971866608,0,0,0,0,0,1.11300003528595,0,0,1.35599994659424,0,0,0,0,0,0,0,0,0,0,0,0,0.791999995708466,0,0,0,0.0649999976158142
1174,"P737470",5,19903,"E01",0,0.725000023841858,0.0320000015199184,5.68700015544891,0.0280000008642673,0,0.640999972820282,0,0.428999990224838,0.142000004649162,0,0,0.222000002861023,0.0670000016689301,0,0.866999983787537,0.662999987602234,0,0,0.211999997496605,0,0,0,0,0,0,0,0,0,0,0.165999993681908,0,0,0,0,0,0,0,0,0.0920000001788139,0,0,0,0,0,0,0,0.307000011205673,0,0,0,0.321000009775162,0,0,0,0,0,0,0.372000008821487,0,0,0,0,0,0,0,2.74899995326996,3.87100005149841,1.11300003528595,0.0850000008940697,0,0,0,0,0,0.400999993085861,0,0,0,0,0,0,0,0,0.435000002384186,0,0,0,0,0,0,0,0
1174,"P737470",5,19903,"E02",0,0,0,5.31899991631508,0,0,0,0,0,0,0.250999987125397,1.33700001239777,1.01800002157688,0,0,0,0,0,0,0,0,1.28100001811981,0,0,0,1.02300000190735,0.53600001335144,0,0.41499999165535,0,0,0,0,0,0,0,0,0,0,3.23199999332428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19903,"E03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368999987840652,0,0,0,0,0.123000003397465,0,0.123000003397465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799000024795532,0,0,0,0,0,0,0,0,4.27199989557266,0.0610000006854534,0,0,0,0,0,0,0
1174,"P737470",5,19903,"E04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2039999961853,0,0,0,0,0,0,0.633000016212463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19903,"E05",0,0,0,0,0,0.53600001335144,0.0610000006854534,0,0,0,0,0,0.967000007629395,0,0.11599999666214,0,0.535000026226044,0.783999979496002,0,0,0,2.651999887079,0,0,0,0,0,0,0,0,0.772000014781952,0,0,0,0,0,0,0.388999998569489,0,0.540000021457672,0,0,0,0,0.241999998688698,0.925999999046326,0,3.0699999332428,1.16599999368191,0,0,0,0,0,0,0,0,0,0.0610000006854534,0,0.310999989509583,0,0,0,0,0,0,0,0.889999985694885,0,0,0.616999983787537,0,0,0,0,0,0,0,0,0,0,0,0,0.252000004053116,0,0,0,0,0,0,0.830999970436096,0
1174,"P737470",5,19903,"E06",0,0,0,1.64600002765656,0,0,0,0,0,0,0,0,0.261000007390976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19903,"E07",0,0,0,0,0,0,0,0,0,0,0,0,2.26799988746643,0.0399999991059303,0.754000008106232,1.15699994564056,0.34799998998642,0,0,0,0,0,0.152999997138977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259999990463257,0,0,0.433999985456467,0,0,0,0.123000003397465,0,0,0,0.412999987602234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05900001525879,0,0,0,0,0,0,0,0,0.172999992966652,0,0.118000000715256,0,0.156000003218651,0.0209999997168779,0,0.356000006198883,2.30399990081787,0.495000004768372,0.620999991893768,0.203999996185303,0,1.27800002135336,0,0,0.112999998033047,0
1174,"P737470",5,19903,"E08",0,0,0,4.34599995613099,0,0,0,0,0,0.331000000238419,0,0.144999995827675,0,0,0,0.841000020503998,0,0,0,0,0,1.01800000667572,0,0,0,0,0,0,0,0,0.46400000154972,0.103000000119209,0,0,0,0.675999999046326,1.01400005817413,0,0,0,0,0,0,0,0,0,1.32799997553229,0.925999999046326,0.981000036001206,0.203000001609325,0,0.275000005960464,0.293000012636185,0,0,0.0640000030398369,0.10700000077486,0.806999981403351,0,0,0,0,0,0,0,0,0.48199999332428,0,0,0,1.75699996948242,0.111000001430511,0.577000021934509,0,0,2.14299994707107,0,0,0,0,0,0.704999983310699,0,0,0,0,0,0.565999984741211,0,0,0,0,0.0199999995529652
