"chemical.id","bottle.id","conc","plate.id","well","date","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","DNC_"
"P215706","P215706","0","25490","G01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","G12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25490","H12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G01","20220506",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P215706","P215706","0","25492","H01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G07","20220506",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P215706","P215706","0","25492","H07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H10","20220506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"P215706","P215706","0","25492","G11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","G12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25492","H12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G01","20220506",0,0,0,0,1,1,1,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","G12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25493","H12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E11","20220506",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P215706","P215706","1","25484","F11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","E12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25484","F12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F07","20220506",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P215706","P215706","1","25485","E08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","E12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25485","F12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","E01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","F01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","E02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","F02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","E03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","F03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","E04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","F04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","E05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","F05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","E06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","F06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","1","25486","E07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
