chemical.id,conc,plate.id,well,bottle.id,remove,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48
1174,10,18312,C02,P98234,0,0,18.12065625,2.886283125,0,0.021701375,10.9808865625,17.88194825,0,0.021701375,0,9.483513125,0,0,0,19.27081875,0,14.93055,4.4921859375,0,0,0,0,0,7.486984375,0.368925,19.3359246875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,D02,P98234,0,0,21.4843865625,0,0,0,0,0,0,3.66754875,16.1892396875,0,0,0,0,0,22.4175228125,0,0,4.492195625,2.2569448125,0,0,0,20.3776053125,0,0,0,0,0,0,8.094618125,0,0,25.30379375,0.108506875,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0
1174,50,18312,E02,P98234,0,22.591155875,0,0,0,0,0,0,13.54165,0,0,0,23.09025625,0,0,3.624125,9.8741196875,0,0,0,24.6527834375,0,0,0,13.84549825,0,0,0,23.76303125,0,0,0,0,3.2118125,10.394978125,0,0,11.45834575,0,0,0,0,0,0.021701375,0,0,0,0,0
1174,50,18312,F02,P98234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,G02,P98234,0,0,0,2.756075,3.9930545,0,21.310778125,0.434028125,0,0,13.65015625,9.765615625,0,0,0,0,25.23868375,0,0,25.9114615625,0,0,0,9.1579885625,0,24.50089375,0,0,7.68227875,0.412325,10.2647490625,0,0,25.933140625,36.41489875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,H02,P98234,0,0,0,3.081596875,0.130208375,0,0,19.8567660625,0,0,6.7057153125,70.811668125,0,0,0,0,0,0,0,20.76823125,0,0,0,0,7.660590625,0,7.2699659375,0,0,17.5130028125,0.6510415625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,A03,P98234,0,0,0,0,0,15.7769135625,7.6823059375,0.390625,0,0,15.4730746875,0,0,0,0,0,0,12.21788575,8.13802325,8.85416625,0,0,0,11.848942,0,0,0,0,0,0,11.935759375,0.3689235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,B03,P98234,0,0,16.080746875,0.95486075,0,0,0,10.8506971875,6.249984375,0.0434028125,0,0,0,16.7534578125,0,0,0,0,12.1961804375,0,0,0,0,0,0,0,21.11544375,0,0.021701375,0,0.021701375,0,11.8923475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,C03,P98234,0,0,0,21.050338125,0,15.82031075,0,0,0,0,19.61807325,14.5616259375,0.13020825,12.109389375,0,18.7065934375,0.021701375,0.021701375,0,0,0,0,20.35588575,0,0,20.8333403125,0,0,0,0,0,19.2491434375,1.236980625,16.71007875,21.3758710625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,D03,P98234,0,7.7256960625,0,7.421875,0,0,0,1.93142325,6.705735,0,0,0,0,8.441839375,0,0,0,3.9062490625,0,9.63541875,2.300346875,0,0,0,6.09809,0,0,0,6.293396875,3.4505210625,0,0,0,9.1145773125,15.9939205625,8.333328875,0.282118125,0,0,0,0,0,0,0,0,0,0,0,0
