chemical.id,conc,plate.id,well,bottle.id,remove,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
1174,0,18206,A06,C43518,0,0,0,0,18.22914125,0.021701375,5.7508725,0,0,0,0,9.483499688,0,0,5.946172438,6.467012813,0,2.647570688,0.021701375,0,0,0,0,0,4.926216688,12.02258094,10.69879981,0,0,0,0,0,8.984375313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,B06,C43518,0,0,0,0,0,0,0,8.61544875,10.13454675,0,0,0,0,0,0,0,0,0,0,3.5807295,0.824651688,0,7.769096875,1.497394688,0,0,0,0,3.6675345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,C06,C43518,0,0.7161445,0,0,0,0,0,0,0,0,0,0,9.74393575,0.086805438,0,8.723969375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.572059375,0.672742813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,D06,C43518,0,0,0,6.09809075,0,0,0,0,13.69357638,1.714410438,0,0,3.81944375,1.10677125,0,0,0,0,0,17.10070656,0,0,0,0,0,0,6.835937125,0,0,0,0,0,0,18.576382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,E06,C43518,0,0,0,10.46007906,0.585937313,0,0,0,0,0,10.69878325,0.151909688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.00260719,0,0,0,0,0,0,12.52170563,0,0,0,0,0,0,0,0,0.043402813,0,0,0
1174,50,18206,F06,C43518,0,0,8.702254188,3.03819375,10.69878638,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,13.32465188,0,0,0,12.0877045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,G06,C43518,0,0,0,0,0,0,0,0,9.960951063,6.4453,0.846355,0,0,0,0,13.45486563,0.347221875,0,0,0,0,0,18.27258044,0,0,0,16.77517469,0,0,8.572041375,0,17.62151781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,H06,C43518,0,0,0,0,12.8689225,0,4.21006875,2.256944375,0,0,0,0,0,0,0,0,7.096359313,0,0,0,0,0,0,10.39495,1.692707188,0,0,0,0,0,0,0,7.682277938,0,0,0,0,0,0,0,0,11.97916469,0,0,0,0,0,0,0,0
1174,0,18206,A07,C43518,0,0,3.103297875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.280382,0,0,0,0,0,0,1.584202938,0,0,2.625867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,B07,C43518,0,0,0,0,0,0,0,0,0,0,0,19.98697281,2.951391688,0,0,0,0,0,0,0,21.96180188,0,0,0,0,0,0,0,19.3576225,0,0,0,0,18.79342156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,C07,C43518,0,5.078124375,0.564235938,0,0,0,5.881078125,3.081595313,0,0,0,0,0,7.400169188,0,4.53559075,0,0,0,0,0,0,0,0,0,4.55729275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,D07,C43518,0,31.59722188,0.889757313,0,0,0.021701375,0,0,0,0,0,0,13.32464594,0,8.376746688,0,0,0,0,14.75693594,0,0,0,0,14.67012781,0,0,0,0,0,9.70051,0,8.767346563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,E07,C43518,0,0,0,0,0,0,0,0,0,0,0,9.548601375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,14.86545281,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0
1174,50,18206,F07,C43518,0,0,0,6.2066125,2.039929313,0,17.25260388,0,0,0,0,0,0,0,0,0,14.01908781,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9930625,5.425347188,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0
1174,100,18206,G07,C43518,0,0,0,0,0,0,0,0,9.722215625,0.585936563,0,0,0,2.387153125,7.769088438,0,0,0,0,9.0060875,0.499133375,0,0,9.309908563,0,0,0,0,10.00432594,0,0,1.08506875,8.1163095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,H07,C43518,0,2.734377,0,0,0,19.92186875,0,0,0,13.10764,0,0,0,19.61804969,12.34808063,0,0,0,0,0,21.02863438,0,0,0,0,0,20.00869481,0,11.74044406,0,17.83855388,13.43316563,2.34375125,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,A08,C43518,0,0,0,0,0,0,5.62066875,5.924486563,0,0,0,0,8.702253125,4.752605125,0,0,0,0,0.021701375,0,0,2.191840625,10.98091125,0,0,0,0,12.5433975,0,0,2.06163125,0.9982625,0,0,0,0,3.34201375,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0
1174,0,18206,B08,C43518,0,0,13.47656344,0,0,5.533855625,0,8.65884375,4.166665313,0,0,0,0,0,14.67015,0,0,0,0,0,13.60677781,0,0,0,0,12.69530313,0.108506875,0,4.57899375,1.019967,12.56509594,0,0,5.664063875,1.8880225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,C08,C43518,0,0,0,30.75087813,0.434028125,0,0,0,18.94531875,3.385414375,0,0,0,0,20.87673219,0,0,0,8.5286475,0,0,0,0,0,0,0,0,4.796000313,1.99652875,0,5.056424063,16.51475625,2.191840625,14.32291875,40.42969688,0.086805625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,D08,C43518,0,0,0,0,0,0,0,0,0,3.363715313,0,0,0,0,0,0,5.902767938,0,0,0,0,7.248270125,0.1953125,0,0,0,0,0,0,7.248265125,0,0,0,0,3.363716563,0,0,2.756078125,0.325520938,0,0,0,0,0,0,0,0,0,0,0
