"conc","well","chemical.id","plate.id","Interval","Movement"
" 0","A12","1174","19903","B",1.07542427083333
" 0","B01","1174","19903","B",2.18942886111111
" 0","B02","1174","19903","B",1.92177728472222
" 0","B03","1174","19903","B",1.12847230555556
" 0","B04","1174","19903","B",3.21662758333333
" 0","B05","1174","19903","B",0.851176583333333
" 0","B07","1174","19903","B",3.21904151388889
" 0","B08","1174","19903","B",2.596931625
" 0","B09","1174","19903","B",0.962094840277778
" 0","B10","1174","19903","B",0.805362819444444
" 0","B11","1174","19903","B",0.573880986111111
" 0","B12","1174","19903","B",1.10677086111111
" 0","A01","1174","19737","E",0
" 0","A02","1174","19737","E",0.00241126388888889
" 0","A03","1174","19737","E",0.913869263888889
" 0","A04","1174","19737","E",0
" 0","A05","1174","19737","E",0.933158138888889
" 0","A06","1174","19737","E",0.390624840277778
" 0","A07","1174","19737","E",0.274884555555556
" 0","A08","1174","19737","E",0.00241126388888889
" 0","A09","1174","19737","E",0.711323326388889
" 0","A10","1174","19737","E",0
" 0","A11","1174","19737","E",0.783660951388889
" 0","A12","1174","19737","E",0.482252888888889
" 0","B01","1174","19737","E",0.00241126388888889
" 0","B02","1174","19737","E",0
" 0","B03","1174","19737","E",1.63724614583333
" 0","B04","1174","19737","E",2.09780143055556
" 0","B05","1174","19737","E",0.535301006944444
" 0","B06","1174","19737","E",9.53655438194444
" 0","B07","1174","19737","E",2.51977177083333
" 0","B08","1174","19737","E",1.08506902777778
" 0","B09","1174","19737","E",4.4777173125
" 0","B10","1174","19737","E",2.87904970833333
" 0","B11","1174","19737","E",0.520833152777778
" 0","B12","1174","19737","E",0
" 0","A01","1174","19738","E",0.0988620277777778
" 0","A02","1174","19738","E",0.501542736111111
" 0","A03","1174","19738","E",0.282118055555556
" 0","A04","1174","19738","E",0.156732361111111
" 0","A05","1174","19738","E",1.95794713888889
" 0","A06","1174","19738","E",0.740258458333333
" 0","A07","1174","19738","E",1.30690711111111
" 0","A08","1174","19738","E",0.952449875
" 0","A09","1174","19738","E",0.472608104166667
" 0","A10","1174","19738","E",0
" 0","A11","1174","19738","E",0.588348888888889
" 0","A12","1174","19738","E",0
" 0","B01","1174","19738","E",0
" 0","B02","1174","19738","E",0.795717513888889
" 0","B03","1174","19738","E",0.0337577083333333
" 0","B04","1174","19738","E",0
" 0","B05","1174","19738","E",0
" 0","B06","1174","19738","E",1.9266034375
" 0","B07","1174","19738","E",1.03925504166667
" 0","B08","1174","19738","E",0.0723379930555556
" 0","B09","1174","19738","E",0.798128534722222
" 0","B10","1174","19738","E",0.559413368055556
" 0","B11","1174","19738","E",0.315875916666667
" 0","B12","1174","19738","E",0.197723923611111
" 0","A01","1174","19842","E",0.597993708333333
" 0","A02","1174","19842","E",1.12847045138889
" 0","A04","1174","19842","E",0.120563291666667
" 0","A05","1174","19842","E",0.477430569444444
" 0","A08","1174","19842","E",0
" 0","A09","1174","19842","E",0
" 0","A10","1174","19842","E",0.424382604166667
" 0","A11","1174","19842","E",0
" 0","A12","1174","19842","E",0
" 0","B01","1174","19842","E",7.54967229166667
" 0","B03","1174","19842","E",13.9684613055556
" 0","B04","1174","19842","E",4.3740344375
" 0","B05","1174","19842","E",0
" 0","B07","1174","19842","E",11.5475536458333
" 0","B09","1174","19842","E",1.55767513888889
" 0","B11","1174","19842","E",0
" 0","B12","1174","19842","E",0
" 0","A01","1174","19843","E",0.284529472222222
" 0","A02","1174","19843","E",0.306230479166667
